SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
1,2026_PWRDW_52718_12,Sivasagar 19 - Construction of Bridge in Sivasagar District i) Br No. 2/1 on Lakhmonighat Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
2,2026_PCB_52708_1,SUPPLY OF TOTAL CARBON ANALYSER (TOC) TO CENTRAL LABORATORY OF ASSAM POLLUTION CONTROL BOARD,LAB-27/3/2024-LAB-PCBA/10 dated 09-06-2026,Pollution Control Board,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
3,2026_PWRDW_52718_3,Dibrugarh 17 - Construction of Bridge in Dibrugarh District i) Br. No. 2/1 on Sessa Koch-1 to Sessa Koch 2 Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
4,2026_PWRDW_52718_2,Dibrugarh 13B - Construction of Bridge in Dibrugarh District i) Br. No. 2/3 on Polungmora to Kachjan connecting Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
5,2026_UDD_52634_1,Design Supply Testing and Commissioning of Material Recovery Facility and Waste to Compost Plant in Naharkatia by Namrup Municipal Board under S.B.M 2.0 and 15th F.C Tied Grant,NrpMB5/15thFC/26/179,Urban Development Department | Directorate of Municipality Administration - UDD | Namrup Municipal Board,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
6,2026_APGCL_52318_1,Spares for Gas Compressor,APGCL/CGM (Gen)/2026-27/Gas Compressor 9 Spares-LTPS/48,Assam Power Generation Company Limited,2026-06-29,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
7,2026_AEGCL_52404_1,"Route Survey for Construction of 220kV Transmission Line for Power Import to OIL, Madhuban from 220kV Namrup GSS and preparation of Master Plan for Construction of 1(One) No. of 220/132/33KV Grid Substation (AIS and GIS) at OIL, Madhuban",AEGCL /MD/ CGM(UAR)/ OIL MADHUBAN/ 220KV /2026/ BID (R),Assam Electricity Grid Corporation Ltd | CGM (T and T),2026-06-26,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
8,2026_AEGCL_52567_1,Replacement of tension disc insulator strings at the tension towers of 132KV Nazira-Teok S/C Transmission line from Nazira GSS gantry to Loc. No. 115,AEGCL /MD /CGM(UAR) /132KV NZR-TEOK /Insulators /2026/BID,Assam Electricity Grid Corporation Ltd | CGM (T and T),2026-06-26,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
9,2026_PWD_52799_1,No.GRC/NIT/510./ 2021 -22/Pt.I/1016 Dated.15.06.2026,No.GRC/NIT/510./ 2021 -22/Pt.I/1016 Dated.15.06.2026,Public Works Roads Department,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
10,2026_BoTC_52615_1,Construction of Market Shed,6th ASFC-08 of 2025-26,Bodoland Territorial Council | Panchayat and Rural Development-BTC,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
